hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
0b94f2651f,copilot_gpt-5-mini,4,"Adds an early check in hci_cmd_sync_queue for HCI_UNREGISTER and returns -ENODEV so commands are not queued after hci_unregister_dev, preventing use-after-free after the timeout.",4,0,0,0,,,,,,,,,5.28,,,,,,
0c7833b9e8,copilot_gpt-5-mini,4,Remove an unnecessary #include <asm/termios.h> from drivers/tty/n_hdlc.c because linux/tty.h already pulls linux/termios.h; this simplifies and unifies header usage.,0,0,4,0,,,,,,,,,5.769,,,,,,
12aeaaba08,copilot_gpt-5-mini,4,Update perf-c2c documentation to include the new 'N/A' store metric (store accesses where memory level is not available) and adjust report table descriptions to reflect this addition.,0,0,4,0,,,,,,,,,7.175,,,,,,
131a79b474,copilot_gpt-5-mini,4,"Fixes hugetlb vma-lock handling: ensure new vma gets its own vma_lock when vm_area_dup copies the pointer, acquire/free the vma lock correctly during unmap to avoid races, and make pmd-sharing require a valid vma_lock (vm_private_data).",4,0,0,0,,,,,,,,,6.558,,,,,,
1634602627,copilot_gpt-5-mini,4,"Adds AVDD-supply and MICVDD-supply properties to the realtek,rt5682s devicetree binding, marks them required and updates the example to show how to specify the regulators.",0,0,4,0,,,,,,,,,14.412,,,,,,
16ed828b87,copilot_gpt-5-mini,4,"Adds a missing iounmap() call in zorro7xx_remove_one(), guarded by a base-address check, to undo an ioremap() performed during probe and prevent leaked I/O mappings on device removal.",4,0,0,0,,,,,,,,,8.194,,,,,,
1f74399fd1,copilot_gpt-5-mini,4,Removes an unused struct member (work) from mlx5e_async_ctx in ktls_tx.c; a small internal cleanup with no functional or API change.,0,0,4,0,,,,,,,,,10.467,,,,,,
23cc6d8c37,copilot_gpt-5-mini,4,"Change cfg80211_auth_request.key_idx from u8 to signed s8 so it can hold -1 (unused) and valid 0..3 indexes, avoiding static-checker warnings and potential unsigned-wrap misbehavior.",4,0,0,0,,,,,,,,,9.011,,,,,,
2fadc6ea4a,copilot_gpt-5-mini,4,Sorts CONFIG_SURFACE_PLATFORMS lines in two RISC-V defconfigs to match savedefconfig ordering; purely a config-ordering/formatting change with no behavior impact.,0,0,4,0,,,,,,,,,7.022,,,,,,
3044a4f271,copilot_gpt-5-mini,4,"Adds a small helper mcp251xfd_is_fd_mode() that encapsulates the CAN-FD / listen-only check and replaces duplicated bitmask tests across FIFO and ring initialization, improving clarity and centralizing logic.",0,0,4,0,,,,,,,,,9.522,,,,,,
35eee9a363,copilot_gpt-5-mini,4,Update rtc selftests to detect when /dev/rtc is absent and SKIP tests instead of asserting; adds checks for self->fd == -1 && errno == ENOENT and calls SKIP in multiple test cases to avoid spurious failures on systems without RTC hardware.,4,0,0,0,,,,,,,,,6.856,,,,,,
3cffb26fbb,copilot_gpt-5-mini,4,"Removes a redundant assignment to 'bytes' in snd_echo_midi_output_write, eliminating a dead-store/clang warning. Change is stylistic and does not alter behavior.",0,0,4,0,,,,,,,,,10.359,,,,,,
4df002d908,copilot_gpt-5-mini,4,"Decouples rcuscale from TASKS_RCU so rcuscale can be built without RCU Tasks: wraps TASKS_OPS in #ifdef CONFIG_TASKS_RCU, adjusts Kconfig and rcutorture configs, reducing unnecessary TASKS_RCU builds and related tracing complexity.",0,0,4,0,,,,,,,,,6.275,,,,,,
562f5bc48a,copilot_gpt-5-mini,4,Typo fix in a comment inside arch/x86/kvm/mmu/spte.h: removes duplicated word 'be split' to read correctly. Purely a comment/documentation change with no functional impact.,0,0,4,0,,,,,,,,,12.39,,,,,,
