hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
0b94f2651f,ollama_codellama_34b,4,This commit fixes a bug in the Bluetooth subsystem by preventing commands from being queued when HCI_UNREGISTER is set.,4,0,1,0,,,,,,,,,59.676,,,,,,
0c7833b9e8,ollama_codellama_34b,3,The commit removes an unnecessary header file inclusion (asm/termios.h) in a driver file (n_hdlc.c).,0,4,0,0,,,,,,,,,128.871,,,,,,
12aeaaba08,ollama_codellama_34b,4,The commit adds a new metric 'N/A' to the store operations report table in the perf-c2c tool documentation.,0,4,3,4,,,,,,,,,99.867,,,,,,
131a79b474,ollama_codellama_34b,4,The commit fixes a bug in the hugetlb vma lock handling during split vma and range unmapping.,4,0,1,0,,,,,,,,,106.18,,,,,,
1634602627,ollama_codellama_34b,4,"The commit adds two new supply entries to the realtek,rt5682s binding file for AVDD and MICVDD.",0,4,0,4,,,,,,,,,105.772,,,,,,
16ed828b87,ollama_codellama_34b,4,The commit fixes a resource leak in zorro7xx_remove_one() by adding an iounmap() call to release the mapped memory.,4,0,1,0,,,,,,,,,118.577,,,,,,
1f74399fd1,ollama_codellama_34b,4,The commit removes an unused field from a struct in the Linux kernel's net/mlx5e driver.,0,4,0,0,,,,,,,,,105.482,,,,,,
23cc6d8c37,ollama_codellama_34b,3,The commit changes the type of key_idx from u8 to s8 in cfg80211_auth_request struct.,4,0,1,0,,,,,,,,,107.191,,,,,,
2fadc6ea4a,ollama_codellama_34b,3,The commit sorts CONFIG_SURFACE_PLATFORMS in defconfigs for RISC-V architecture.,0,3,1,0,,,,,,,,,144.73,,,,,,
3044a4f271,ollama_codellama_34b,4,The commit introduces a new function mcp251xfd_is_fd_mode() to check if the chip's FIFOs are configured for CAN-FD mode.,0,4,4,0,,,,,,,,,104.223,,,,,,
35eee9a363,ollama_codellama_34b,4,"This commit adds a new feature to the Linux kernel, specifically for managing private anonymous VMAs.",0,4,0,4,,,,,,,,,104.134,,,,,,
3cffb26fbb,ollama_codellama_34b,4,The commit removes a redundant assignment to a variable that is never read.,0,4,0,0,,,,,,,,,116.202,,,,,,
4df002d908,ollama_codellama_34b,4,"This commit decouples the presence of rcuscale from the presence of RCU Tasks, allowing for a more modular kernel configuration.",0,4,0,4,,,,,,,,,118.318,,,,,,
562f5bc48a,ollama_codellama_34b,3,"The commit removes duplicated text in a comment, which does not affect the functionality of the code.",0,0,4,0,,,,,,,,,101.384,,,,,,
5b45b1c8b8,ollama_codellama_34b,4,This commit reverts a change that was made to populate the DCF clock table based on DCFCLK states. The reverted code used DCFCLK as the primary source of information for populating the table.,4,0,1,0,,,,,,,,,107.117,,,,,,
5dc6ce767d,ollama_codellama_34b,4,This commit adds a new compatible string for the Renesas RZ/V2L SoC (a.k.a R9A07G054) to the device tree bindings documentation.,0,3,1,4,,,,,,,,,130.333,,,,,,
60b3c27fb9,ollama_codellama_34b,0,The commit modifies several files in the Linux kernel's PCIe driver to use a new data structure for representing PCIe controllers.,0,0,0,0,,,,,,,,,141.312,,,,,,
647df0d41b,ollama_codellama_34b,4,The commit fixes a bug in the clang compiler by changing the format specifier for printing an unsigned short value from %#06hx to %#06x.,4,0,1,0,,,,,,,,,116.208,,,,,,
64ac0befe7,ollama_codellama_34b,3,The commit fixes a bug in the MIPS architecture by casting the upper bound of the branch range to long for signed comparison.,4,0,1,0,,,,,,,,,130.345,,,,,,
67fda6c2df,ollama_codellama_34b,4,The commit removes a redundant case in SetHwReg8188EU() that calls a function directly.,0,4,4,0,,,,,,,,,119.363,,,,,,
710c8d6c02,ollama_codellama_34b,3,The commit declares non-global symbols as static to fix sparse warnings introduced while adding errata.,0,4,0,0,,,,,,,,,68.66,,,,,,
719ca37972,ollama_codellama_34b,4,The commit removes unnecessary interrupt flags from display subsystem nodes in device tree bindings.,0,4,3,0,,,,,,,,,104.108,,,,,,
7392d87a9f,ollama_codellama_34b,4,"The commit adds a new field to store names for private anonymous memory in /proc/pid/maps and /proc/pid/smaps, which allows userspace to name anonymous VMAs displayed as [anon:<name>]. The patch also includes a prctl interface and regression test.",0,4,4,4,,,,,,,,,19.488,,,,,,
76ee15ae1b,ollama_codellama_34b,4,"The commit adds new SoCs and PMICs to the socinfo driver, which is responsible for providing information about the system-on-chip (SoC) and power management integrated circuit (PMIC).",0,4,0,4,,,,,,,,,104.568,,,,,,
7b0ac469e3,ollama_codellama_34b,4,The commit adds support for all possible chip cuts in the RTL8xxxU driver.,0,4,0,4,,,,,,,,,98.902,,,,,,
801179b670,ollama_codellama_34b,4,The commit removes a custom software enable count for PRCMU clocks in the Ux500 platform.,0,4,0,0,,,,,,,,,120.684,,,,,,
805a3ebed5,ollama_codellama_34b,3,The commit appears to be related to memory management and initialization for a RISC-V architecture.,0,3,2,0,,,,,,,,,116.839,,,,,,
8bad51c689,ollama_codellama_34b,4,"The commit adds new functionality to enable QUP and GPI DMA hardware, which is necessary for adding functional I2C nodes later.",0,4,0,4,,,,,,,,,113.896,,,,,,
8f5a9371e6,ollama_codellama_34b,3,The commit fixes a bug in the thermal driver for Renesas RZG2L SoCs by replacing a confusing comment with a more accurate description of the measurement times.,4,0,1,0,,,,,,,,,127.265,,,,,,
907862e9ae,ollama_codellama_34b,3,The commit fixes an infinite loop that may occur when releasing resources in the igc driver.,4,0,1,0,,,,,,,,,77.613,,,,,,
9231bb1b25,ollama_codellama_34b,4,The commit updates the terminology used in the pcm3168a driver to use more modern language for clocking.,0,4,0,4,,,,,,,,,119.48,,,,,,
944d95f766,ollama_codellama_34b,4,The commit removes a hack that was used to support future NFS swap support.,0,4,0,0,,,,,,,,,134.458,,,,,,
9af41cc334,ollama_codellama_34b,4,Implements GTP echo response functionality by adding a new function to handle GTP echo requests and responses.,0,4,0,4,,,,,,,,,93.938,,,,,,
9b51d9d866,ollama_codellama_34b,4,"The commit replaces cpumask_next_zero() with cpumask_first_zero(), which is a more efficient way to find the first unset CPU in a cpumask.",0,4,0,0,,,,,,,,,123.485,,,,,,
a373f38cd1,ollama_codellama_34b,4,"The commit removes a call to an IOVAR that is no longer supported in the firmware, which caused a failure message to be displayed on the console after roaming was complete.",0,4,0,0,,,,,,,,,110.705,,,,,,
c8e98eaf2b,ollama_codellama_34b,4,"This commit adds support for a new platform called adl_rt5682, which uses the alc5682 headset codec without a speaker amplifier.",0,4,3,4,,,,,,,,,118.72,,,,,,
cc767e7c69,ollama_codellama_34b,3,The commit adds a new feature to io_uring: fail zerocopy sendmsg when unsupported by socket.,0,4,0,4,,,,,,,,,125.24,,,,,,
cee7db1b02,ollama_codellama_34b,4,The commit adds a new feature to the kernel documentation system by testing for the existence of xeCJK.sty before loading it.,0,4,0,4,,,,,,,,,143.547,,,,,,
dc3f4dee81,ollama_codellama_34b,3,The commit adds a new feature to checkpatch.pl that allows macros with complex values to be enclosed in parentheses.,0,4,0,4,,,,,,,,,40.607,,,,,,
de40c281fe,ollama_codellama_34b,4,The commit replaces the simple-KMS helpers with regular atomic helpers.,0,4,1,0,,,,,,,,,147.62,,,,,,
dedc215003,ollama_codellama_34b,4,"The commit adds a new feature to the Linux kernel, specifically for managing private anonymous VMAs",0,4,0,4,,,,,,,,,121.007,,,,,,
e1553351d7,ollama_codellama_34b,3,The commit removes unnecessary VPRINTK() calls from libata.,0,4,1,0,,,,,,,,,31.195,,,,,,
e5fc78252c,ollama_codellama_34b,4,This commit adds support for zstate during extended vblank,0,4,0,4,,,,,,,,,113.784,,,,,,
e688ba3e27,ollama_codellama_34b,4,The commit fixes a type mismatch in the hqd_destroy() callback function by changing the type of the reset_type parameter from uint32_t to enum kfd_preempt_type.,4,0,1,0,,,,,,,,,100.737,,,,,,
e79368b15d,ollama_codellama_34b,4,"The commit fixes a bug in the device tree bindings for STM32 pinctrl by correcting the name of a property from 'reset' to 'resets', and adds an additionalProperties: false constraint to prevent future similar bugs.",4,0,1,0,,,,,,,,,106.174,,,,,,
e950329880,ollama_codellama_34b,3,The commit modifies a warning flag in the Makefile to silence an array-bounds warning on GCC 12.,0,4,0,0,,,,,,,,,50.369,,,,,,
ee74fdf0ca,ollama_codellama_34b,3,The commit changes the way the device is powered on and off by using pm_runtime_resume_and_get instead of pm_runtime_get_sync.,0,4,0,0,,,,,,,,,103.087,,,,,,
f110ed8498,ollama_codellama_34b,4,"This commit splits out fixed file installation and removal from io_uring to filetable.c, which is where it belongs.",0,4,0,4,,,,,,,,,118.869,,,,,,
f3116f2e52,ollama_codellama_34b,4,"The commit splits the G1 and G2 decoder blocks into separate nodes in the device tree, each with its own power-domain support.",0,4,0,4,,,,,,,,,108.386,,,,,,
fab6f4904e,ollama_codellama_34b,4,The commit removes a macro that was only used once in the codebase.,0,4,0,0,,,,,,,,,97.84,,,,,,
