hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
002752af7b,ollama_gpt-oss_120b,3,"The patch modifies device‑property fwnode APIs to accept error‑pointer values, removing the need for callers to test IS_ERR before fwnode_handle_put(), thus simplifying error handling and avoiding reference‑count leaks.",0,3,1,1,,,,,,,,,64.654,,,,,,
00aaca3d07,ollama_gpt-oss_120b,4,"Updates the QCOM QMP PHY device tree binding documentation to correct the child node description, changing it from per‑lane to per‑PHY.",0,2,2,0,,,,,,,,,54.141,,,,,,
00fa7f031d,ollama_gpt-oss_120b,3,"The commit introduces basic code structures in the AMD display driver to support Firmware Assisted Memory Switching, laying groundwork for future activation of this capability.",0,0,1,4,,,,,,,,,61.558,,,,,,
016017a195,ollama_gpt-oss_120b,4,"The patch adds an #ifdef around two X86‑specific lines in drm/ttm so they are excluded when building for ARCH=um, enabling successful compilation under user‑mode Linux where PCI is emulated.",4,0,1,0,,,,,,,,,63.515,,,,,,
01c3f0387c,ollama_gpt-oss_120b,3,"The patch adds the const qualifier to pointers of struct qcom_icc_bcm in the SC8280XP interconnect driver, indicating they are never modified, while keeping the struct contents mutable.",0,4,0,0,,,,,,,,,60.874,,,,,,
0209b5830b,ollama_gpt-oss_120b,3,"The patch corrects the handling of 64‑bit arguments in SBI PMU calls when compiled for RV32, ensuring the proper registers are used so that RV32 kernels set correct values.",4,0,0,0,,,,,,,,,57.933,,,,,,
0255571a16,ollama_gpt-oss_120b,3,"The commit replaces direct accesses to the perf CPU map with calls to the perf_cpu_map API, improving reference‑count handling and code consistency.",0,2,3,0,,,,,,,,,60.074,,,,,,
0263256791,ollama_gpt-oss_120b,3,"The patch refactors DMA allocation/free paths to insert a tracepoint that records the actual allocating function, enabling tracing of DMA allocations and detection of misuse such as freeing before unmapping.",0,2,2,4,,,,,,,,,62.474,,,,,,
0285042fed,ollama_gpt-oss_120b,3,"The patch restructures the cs42l42 driver probe and remove functions into three stages to accommodate SoundWire devices, adding an init_done flag to guard against register accesses when initialization failed.",0,2,3,1,,,,,,,,,62.667,,,,,,
029d6586dc,ollama_gpt-oss_120b,4,"Adds a device‑tree node for the Qualcomm SC7280 Data Capture and Compare (DCC) hardware, specifying its register address, enabling kernel support for the DCC block.",0,0,0,4,,,,,,,,,57.84,,,,,,
0301bcd599,ollama_gpt-oss_120b,3,"The patch updates iwlwifi driver code to correctly remove const qualifiers by casting through uintptr_t or de‑constifying variables, and removes unnecessary void* casts for dma_map_single, ensuring compilation on stricter compilers.",2,1,4,0,,,,,,,,,63.994,,,,,,
034921cdea,ollama_gpt-oss_120b,3,"The patch refactors the s390 vfio_ap driver to obtain queue devices via the AP bus's ap_get_qdev() function, using a hashtable keyed by APQN instead of iterating over the device list, yielding a faster lookup.",0,0,4,0,,,,,,,,,56.925,,,,,,
038efb6348,ollama_gpt-oss_120b,4,"Corrects NFSv4.2 CLONE handling for zero‑length clones. With a delegation the client skipped attribute updates, causing the destination inode size to be set to zero. The patch computes the correct size from the server's GETATTR after CLONE.",4,0,0,0,,,,,,,,,62.474,,,,,,
039d5d4db4,ollama_gpt-oss_120b,4,"The commit adds support for retrieving the Signal‑to‑Noise Ratio from the wcn36xx driver by introducing a macro (from the prima driver) and implementing the get_snr() helper, enabling future use in mac80211 survey operations.",0,0,1,4,,,,,,,,,60.911,,,,,,
03a6b195e8,ollama_gpt-oss_120b,3,"The patch updates RAID5 stripe_head code to fully initialize embedded bio structures via bio_init, replacing prior partial init, manual field settings, and bio_reset.",0,2,3,0,,,,,,,,,66.022,,,,,,
03eb65224e,ollama_gpt-oss_120b,3,"The patch removes an unnecessary backslash at the end of a line in the spr_cstates[] array definition of the intel_idle driver, cleaning up the source without altering functionality.",0,0,4,0,,,,,,,,,59.597,,,,,,
03f16cd020,ollama_gpt-oss_120b,4,"Adds CONFIG_OBJTOOL, makes stack validation optional, replaces CONFIG_STACK_VALIDATION usages, and redefines config semantics for objtool.",0,0,4,1,,,,,,,,,54.791,,,,,,
03fdb11da9,ollama_gpt-oss_120b,4,"The patch changes the driver’s variable declarations from generic u32 to the explicit little‑endian __le32 type, correcting assignments and casts that triggered sparse warnings about endianness mismatches.",3,1,0,0,,,,,,,,,56.288,,,,,,
0414441259,ollama_gpt-oss_120b,4,"The commit corrects a misspelled word in the SCSI subsystem documentation, updating the text to the proper spelling without altering any source code.",0,0,0,0,,,,,,,,,56.46,,,,,,
044034efbe,ollama_gpt-oss_120b,4,"The patch updates the i.MX GPPLL fractional‑N clock driver to program the MFD register with 1 instead of 0, complying with the spec that disallows a zero value.",4,0,0,0,,,,,,,,,54.447,,,,,,
046545a661,ollama_gpt-oss_120b,3,"The patch adjusts kill_accessing_process() to return -EHWPOISON when a page is already poisoned, ensuring the kernel does not emit a spurious “Memory error not recovered” message and avoids sending duplicate SIGBUS signals after a race between CMCI and machine‑check handling.",4,1,0,0,,,,,,,,,61.668,,,,,,
04c439b367,ollama_gpt-oss_120b,3,"The commit updates the device-tree binding documentation for the nvmem snvs-lpgpr driver, clarifying that i.MX8M compatible strings include a fallback to the older fsl,imx7d-snvs-lpgpr string.",0,0,2,0,,,,,,,,,57.264,,,,,,
04e0456f77,ollama_gpt-oss_120b,4,"The patch deletes an unnecessary dev_err call after devm_ioremap_resource, since that function already reports errors, preventing duplicate messages.",0,0,4,0,,,,,,,,,63.73,,,,,,
04e551d66d,ollama_gpt-oss_120b,3,"The commit adds handling for multicast router (mrouter) ports in the sparx5 network driver, ensuring they are included in all active multicast groups and that flooding is overridden, enabling proper multicast forwarding to those ports.",0,0,1,4,,,,,,,,,61.301,,,,,,
0519f73adb,ollama_gpt-oss_120b,4,"The patch renames the driver’s internal struct from xilinx_pcie_port to xilinx_pcie to follow the <driver>_pcie naming convention, updating all references accordingly, without altering functionality.",0,0,4,0,,,,,,,,,63.871,,,,,,
0537692bbe,ollama_gpt-oss_120b,3,"The patch removes a verbose debug printk from the Qualcomm QMP combo PHY init function, cleaning up unnecessary logging.",0,0,4,0,,,,,,,,,59.51,,,,,,
0542aac494,ollama_gpt-oss_120b,4,"Updates the device‑tree binding files for GPIO‑controlled IR LEDs, converting the old description to the new DT schema format to align with kernel documentation standards.",0,0,4,0,,,,,,,,,58.286,,,,,,
059ee82b64,ollama_gpt-oss_120b,3,"The patch changes unx_lookup_cred() to allocate memory using the same mempool strategy as rpc_malloc(), aligning its allocation behavior with the rest of SUNRPC.",4,1,1,0,,,,,,,,,66.108,,,,,,
05b90d2404,ollama_gpt-oss_120b,3,The commit updates the arm/qcom dt-bindings documentation to include the CRD and Lenovo Thinkpad X13s as valid compatible strings for the sc8280xp platform.,0,0,2,0,,,,,,,,,58.118,,,,,,
05f333b746,ollama_gpt-oss_120b,3,"Adds a device‑tree node for the ethqos Ethernet controller on the SM8150 SoC, allowing the kernel to recognize and initialize the hardware.",0,0,0,4,,,,,,,,,65.313,,,,,,
069fc464f1,ollama_gpt-oss_120b,3,"The patch replaces the literal 9 with the PAGE_SECTORS_SHIFT macro in block code and removes an unnecessary cast, making the code clearer and relying on the compiler's implicit conversion.",0,0,4,0,,,,,,,,,72.721,,,,,,
0704a8586f,ollama_gpt-oss_120b,4,"Switches the DASD driver’s sysfs implementation to use kobj_type’s default_groups instead of the deprecated default_attrs, aligning with the newer kobject API and preparing for removal of the old field.",0,0,4,0,,,,,,,,,101.325,,,,,,
079c4c0c6c,ollama_gpt-oss_120b,3,"The patch updates the i915 DVO driver to replace a custom read‑modify‑write sequence with the generic intel_de_rmw() helper and switches to intel_de_posting_read() for posting reads, improving register access handling.",0,1,4,0,,,,,,,,,58.845,,,,,,
081e8432ad,ollama_gpt-oss_120b,3,"The commit removes the hisilicon,hi6220-reset device-tree binding because the related controllers are already documented elsewhere, cleaning up redundant binding files.",0,0,3,0,,,,,,,,,62.001,,,,,,
085292c3d7,ollama_gpt-oss_120b,4,"Reverts a prior commit that added pipe1 hardware support because it caused graphics hangs on Navi 21 with GNOME Wayland, restoring the previous state.",4,0,0,0,,,,,,,,,61.806,,,,,,
088c840599,ollama_gpt-oss_120b,3,"The patch introduces a small wrapper struct for the hisi PCI driver to store the __iomem pointer instead of a generic void *, eliminating a sparse static‑analysis warning about address‑space mismatched pointer conversion.",0,1,4,0,,,,,,,,,64.275,,,,,,
08a987a8a0,ollama_gpt-oss_120b,4,"Extends the DRM/amdkfd PROCESS_INFO ioctl to report the number of SVM ranges and their private data size, enabling CRIU to discover these ranges for future checkpoint/restore support.",0,0,1,4,,,,,,,,,57.463,,,,,,
09570c5010,ollama_gpt-oss_120b,3,"The patch introduces an explicit 'submission_initialized' flag in the i915 GuC driver, replacing the previous reliance on the LRC descriptor pool to determine if submission has been set up.",0,4,2,0,,,,,,,,,63.322,,,,,,
0966d38583,ollama_gpt-oss_120b,3,"The commit corrects the calculation of relocation range limits for RISC‑V PC‑relative jumps using auipc+jalr, adjusting signed‑immediate handling so offsets near ±2^31 are accepted correctly.",4,0,0,0,,,,,,,,,59.431,,,,,,
09e7af76db,ollama_gpt-oss_120b,3,"The patch adds a check for the return value of clk_enable() in the davinci_mmc driver and returns an error if the call fails, improving error handling.",3,0,0,0,,,,,,,,,61.629,,,,,,
0a068f4a71,ollama_gpt-oss_120b,4,"Adds missing asterisks to comment block delimiters in tracing/hist code, correcting comment syntax and eliminating clang warnings about malformed comment lines.",0,0,4,0,,,,,,,,,67.098,,,,,,
0a3a4b9d2b,ollama_gpt-oss_120b,3,"The patch enlarges the static name array used by the Exynos MCT driver so it can hold more timer identifiers, allowing correct printing of mct_tick values on CPUs with ≥12 local timers.",4,0,0,0,,,,,,,,,60.026,,,,,,
0a5bfb824a,ollama_gpt-oss_120b,3,"The patch adjusts KVM's handling of the decrementer timer during PowerPC HV migration so that the expiry value is computed relative to the guest timebase, eliminating a hang that occurred after migration.",4,0,0,0,,,,,,,,,62.936,,,,,,
0adc2ab0e8,ollama_gpt-oss_120b,3,"The patch changes F2FS to keep io_flags in the bio structure so that I/O from different fio holders retains identical flags, allowing merges and avoiding unnecessary I/O splitting.",4,0,1,0,,,,,,,,,58.521,,,,,,
0b046e12ae,ollama_gpt-oss_120b,3,"Simplifies compound_range_next() by dropping a redundant order check and using PageHead() instead of PageCompound(), based on the fact that compound pages always have order ≥1 and aren't tail pages.",0,0,4,0,,,,,,,,,61.471,,,,,,
0b465150b3,ollama_gpt-oss_120b,3,"The patch removes the HAL_DEF_IS_SUPPORT_ANT_DIV case from GetHalDefVar8188EUsb() in the r8188eu driver and places that logic in a new helper function, aiming to eliminate the legacy HAL layer.",0,0,4,0,,,,,,,,,55.294,,,,,,
0b55f6bc46,ollama_gpt-oss_120b,3,"The patch corrects the handling of DSC bits_per_pixel in the MSM DPU1 driver. It acknowledges that the register stores a 6.4 fixed‑point value, matching drm_dsc_config, and removes the previous incorrect integer‑only math that tried to extract fractional bits.",4,1,2,0,,,,,,,,,57.981,,,,,,
0b8ff0ba27,ollama_gpt-oss_120b,3,"The commit updates the perf test suite by swapping the record test workload with the thloop program, eliminating the need for a compiler during testing.",0,0,4,0,,,,,,,,,55.581,,,,,,
0b94f2651f,ollama_gpt-oss_120b,3,"Adds a check in hci_cmd_sync_queue to return an error when HCI_UNREGISTER is set, preventing command queuing after device unregistration and avoiding a use‑after‑free.",4,2,0,0,,,,,,,,,74.855,,,,,,
0bd5ab511e,ollama_gpt-oss_120b,4,"Adds a compiler hint (likely()) to ICE_XDP_REDIR in ice_run_xdp_zc and its caller, guiding the optimizer to treat XDP_REDIRECT as the common case, improving branch prediction and generated code.",0,0,4,0,,,,,,,,,61.069,,,,,,
0c51e12e21,ollama_gpt-oss_120b,4,"The patch invalidates unresolved unicast neighbour entries for broadcast addresses when the broadcast route is added, forcing creation of a proper broadcast neighbour and stopping packet drops.",4,2,0,0,,,,,,,,,59.502,,,,,,
0c7833b9e8,ollama_gpt-oss_120b,4,"The patch deletes an unnecessary `asm/termios.h` header inclusion from `n_hdlc.c` because `linux/tty.h` already includes the required `linux/termios.h`, simplifying the include hierarchy.",0,0,4,0,,,,,,,,,67.59,,,,,,
0c9ee5ba75,ollama_gpt-oss_120b,4,"The patch changes brcmstb_reset() to static, removing the -Wmissing-prototypes compiler warning in the sdhci‑brcmstb driver.",0,0,4,0,,,,,,,,,63.227,,,,,,
0c9f178778,ollama_gpt-oss_120b,4,"The commit deletes the guest PASID UAPI interfaces and related definitions from the IOMMU subsystem because they are unused and will be replaced by the new iommufd design, eliminating dead code.",0,1,4,0,,,,,,,,,71.01,,,,,,
0ca18d09c7,ollama_gpt-oss_120b,4,Adds a return‑value check for mmc_add_host() in the moxart MMC driver and frees the allocated host on failure to avoid memory leak and kernel crash.,4,0,0,0,,,,,,,,,55.098,,,,,,
0d8928a94b,ollama_gpt-oss_120b,4,"The patch replaces the 64‑bit modulo operator with the kernel helper div_u64_rem, removing the undefined __umoddi3 symbol that caused i386 compilation failures of the amdgpu driver.",4,1,0,0,,,,,,,,,61.706,,,,,,
0dc33c6583,ollama_gpt-oss_120b,3,"The patch stops copying MACsec encryption keys when setting up a flow, eliminating the need to zero them later, thus reducing key handling.",0,4,1,0,,,,,,,,,56.612,,,,,,
0e3f72931f,ollama_gpt-oss_120b,3,"The patch modifies vhost/vsock's transmit handling to allocate packet buffers with kvmalloc/kvfree instead of kmalloc, fixing allocation failures seen when large files are transferred over vsock.",4,0,0,0,,,,,,,,,63.918,,,,,,
