hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
0b94f2651f,ollama_deepseek-r1_32b,3,This commit addresses a potential use-after-free (UAF) issue in the Bluetooth hci_sync code by checking the HCI_UNREGISTER flag before queuing commands.,4,1,0,0,,,,,,,,,188.375,,,,,,
0c7833b9e8,ollama_deepseek-r1_32b,3,"Removes an unnecessary include statement in n_hdlc.c, simplifying the include structure and reducing redundancy.",0,0,4,0,,,,,,,,,222.169,,,,,,
12aeaaba08,ollama_deepseek-r1_32b,2,Updates documentation to reflect the addition of an 'N/A' metric for store operations in perf reports.,0,0,1,0,,,,,,,,,233.925,,,,,,
131a79b474,ollama_deepseek-r1_32b,3,"Fixes issues with vma lock handling during splitting and unmapping in hugetlb, addressing race conditions and ensuring proper lock management.",4,0,1,0,,,,,,,,,208.559,,,,,,
1634602627,ollama_deepseek-r1_32b,3,"This commit adds AVDD and MICVDD supply definitions to the dt-bindings for the rt5682s codec, improving documentation.",0,1,2,0,,,,,,,,,233.399,,,,,,
16ed828b87,ollama_deepseek-r1_32b,3,The commit addresses a resource leak in the zorro7xx SCSI driver's remove function by adding an iounmap() call to properly release resources.,4,0,0,0,,,,,,,,,207.369,,,,,,
1f74399fd1,ollama_deepseek-r1_32b,3,"The commit removes an unused work field from struct mlx5e_async_ctx, which improves code cleanliness and maintainability.",0,0,4,0,,,,,,,,,234.41,,,,,,
23cc6d8c37,ollama_deepseek-r1_32b,4,The commit changes the type of a struct member from unsigned to signed to prevent static checker warnings when assigning -1. This avoids potential issues with code analysis tools.,4,0,0,0,,,,,,,,,234.151,,,,,,
2fadc6ea4a,ollama_deepseek-r1_32b,3,This commit sorts the CONFIG_SURFACE_PLATFORMS configuration in a RISC-V defconfig file to match savedefconfig's order. It does not change functionality but improves code organization.,0,0,4,0,,,,,,,,,222.574,,,,,,
3044a4f271,ollama_deepseek-r1_32b,3,"Introduces a helper function to check if the chip's FIFOs are in CAN-FD mode, replacing an open-coded check.",0,0,4,0,,,,,,,,,234.26,,,,,,
35eee9a363,ollama_deepseek-r1_32b,3,"The commit modifies selftests to skip RTC-related tests when the RTC hardware is not present, preventing unnecessary test failures.",4,1,2,0,,,,,,,,,207.818,,,,,,
3cffb26fbb,ollama_deepseek-r1_32b,3,The commit removes an unnecessary variable assignment that was causing a clang warning. It cleans up redundant code without affecting functionality.,0,0,4,0,,,,,,,,,201.41,,,,,,
4df002d908,ollama_deepseek-r1_32b,3,"The commit decouples rcuscale from RCU Tasks in a kernel configured with CONFIG_PREEMPT_NONE=y. This change prevents the unnecessary inclusion of RCU Tasks when rcuscale is built, reducing kernel size and complexity.",0,4,0,0,,,,,,,,,223.092,,,,,,
562f5bc48a,ollama_deepseek-r1_32b,4,The commit removes a duplicated phrase 'be split' in the spte.h file within the KVM x86 MMU code.,0,0,4,0,,,,,,,,,233.931,,,,,,
5b45b1c8b8,ollama_deepseek-r1_32b,3,"Reverts a previous change that caused issues with clock table population, preventing underflow.",4,0,0,0,,,,,,,,,200.125,,,,,,
5dc6ce767d,ollama_deepseek-r1_32b,3,"The commit adds a compatible string for the Renesas RZ/V2L SoC Mali-G31 GPU in device tree bindings, enabling proper hardware recognition.",0,0,0,4,,,,,,,,,232.933,,,,,,
60b3c27fb9,ollama_deepseek-r1_32b,3,Renames struct pcie_port to dw_pcie_rp for naming consistency in the DW PCIe core driver.,0,0,4,0,,,,,,,,,222.49,,,,,,
647df0d41b,ollama_deepseek-r1_32b,3,"Fixes a clang format warning by correcting the format specifier to match the promoted integer type, improving code correctness and adherence to standards.",1,2,3,0,,,,,,,,,202.438,,,,,,
64ac0befe7,ollama_deepseek-r1_32b,3,"Fixes a bug in MIPS jump_label by casting upper bound to long for signed comparison, preventing negative offsets from triggering warnings.",4,0,0,0,,,,,,,,,221.505,,,,,,
67fda6c2df,ollama_deepseek-r1_32b,3,Removes an unnecessary case from SetHwReg8188EU() by directly calling the function it references. Part of a larger effort to eliminate the hal layer.,0,0,4,0,,,,,,,,,201.608,,,,,,
710c8d6c02,ollama_deepseek-r1_32b,3,The commit addresses sparse warnings by declaring non-global symbols as static in arm64 code. This improves code quality and prevents potential linking issues.,0,1,4,0,,,,,,,,,174.15,,,,,,
719ca37972,ollama_deepseek-r1_32b,3,"The commit corrects device tree bindings by removing incorrect interrupt flags for MDSS nodes, ensuring proper interrupt handling.",4,0,1,0,,,,,,,,,235.832,,,,,,
7392d87a9f,ollama_deepseek-r1_32b,3,The commit modifies memory allocation in struct ctrl_ref to prepare for dynamic array size adjustments by drivers.,0,1,2,0,,,,,,,,,201.077,,,,,,
76ee15ae1b,ollama_deepseek-r1_32b,3,"Adds support for new SoCs (SM8350, SC8280XP, SA8540P, SM8450) and associated PMICs in the socinfo driver to enhance hardware compatibility.",0,0,0,4,,,,,,,,,181.434,,,,,,
7b0ac469e3,ollama_deepseek-r1_32b,3,This commit updates the rtl8xxxu wifi driver to recognize all possible chip cuts (versions A-P) instead of only up to E. It improves error messages for unsupported chips.,4,1,0,0,,,,,,,,,232.349,,,,,,
801179b670,ollama_deepseek-r1_32b,3,"The commit removes redundant software enable count management for PRCMU clocks in the ux500 platform, as the core already handles this state.",0,1,4,0,,,,,,,,,200.21,,,,,,
805a3ebed5,ollama_deepseek-r1_32b,4,This commit refactors RISC-V memory management initialization by reducing #ifdef CONFIG_XIP_KERNEL usage. It groups related conditional usages together for cleaner code structure.,0,0,4,0,,,,,,,,,207.881,,,,,,
8bad51c689,ollama_deepseek-r1_32b,2,Enables QUP and GPI DMA hardware to support future I2C nodes.,0,1,0,4,,,,,,,,,208.396,,,,,,
8f5a9371e6,ollama_deepseek-r1_32b,3,The commit fixes comments in the thermal driver for rzg2l by improving clarity and correcting typos.,0,0,3,0,,,,,,,,,220.958,,,,,,
907862e9ae,ollama_deepseek-r1_32b,3,"Fixes an infinite loop issue when failing to acquire the HW semaphore during resource release, typically due to hardware removal.",4,0,0,0,,,,,,,,,150.41,,,,,,
9231bb1b25,ollama_deepseek-r1_32b,3,"The commit updates the pcm3168a driver to use modern ASoC DAI format terminology, replacing old-style defines with current terms for clocking.",0,0,4,0,,,,,,,,,202.18,,,,,,
944d95f766,ollama_deepseek-r1_32b,3,"The commit removes unnecessary code related to IS_SWAPFILE in NFS, improving code quality by eliminating redundancy.",0,1,4,0,,,,,,,,,222.298,,,,,,
9af41cc334,ollama_deepseek-r1_32b,3,Implements handling of GTP Echo Request messages by sending appropriate responses with necessary information elements for both GTPv0 and GTPv1.,0,2,0,4,,,,,,,,,194.716,,,,,,
9b51d9d866,ollama_deepseek-r1_32b,3,The commit replaces cpumask_next_* functions with cpumask_first_* where appropriate for better effectiveness. It also introduces a new function cpumask_first_zero() since it didn't exist before.,0,2,4,0,,,,,,,,,207.424,,,,,,
a373f38cd1,ollama_deepseek-r1_32b,3,"Removes a call to 'dtim_assoc' IOVAR because the firmware no longer supports it, preventing failure and console errors during roaming.",4,0,0,0,,,,,,,,,205.896,,,,,,
c8e98eaf2b,ollama_deepseek-r1_32b,3,Adds support for Intel platforms using the alc5682 codec without a speaker amplifier by creating a new board configuration.,0,1,0,4,,,,,,,,,208.079,,,,,,
cc767e7c69,ollama_deepseek-r1_32b,3,"The commit ensures that zerocopy sendmsg operations fail when the socket does not support them, preventing incorrect behavior.",4,1,0,0,,,,,,,,,221.203,,,,,,
